Instance,Variables,Integers,Binaries,Type
50v-10,2013,183,1464,MIP
drayage-25-27,11090,0,11025,MBP
drayage-25-32,11090,0,11025,MBP
drayage-100-12,11090,0,11025,MBP
drayage-25-23,11090,0,11025,MBP
drayage-100-23,11090,0,11025,MBP
tokyometro,4537,2041,2496,MIP
ns1905797,18192,4,17676,MIP
neos-933638,32417,0,28637,MBP
sct1,22886,0,10312,MBP
reblock115,1150,0,1150,BP
minutedispatchstrategy,41761,0,20156,MBP
ran14x18-disj-8,504,0,252,MBP
ex1010-pi,25200,0,25200,BP
roi2alpha3n4,6816,0,6642,MBP
d20200,4000,0,4000,BP
cvs16r89-60,2384,0,2384,BP
ns1631475,22696,211,22470,MIP
noswot,128,25,75,MIP
leo2,11100,0,11099,MBP
wnq-n100-mw99-14,10000,0,10000,BP
s55,78141,0,78137,MBP
lectsched-1,28718,482,28236,MIP
gasprod1-3,10752,0,3717,MBP
gasprod1-2,10752,0,3716,MBP
gasprod1-1,10920,0,4053,MBP
academictimetablesmall,28926,0,28926,BP
rmatr100-p5,8784,0,100,MBP
supportcase29,12050,0,12050,BP
fhnw-schedule-paira200,20300,0,20100,MBP
fhnw-schedule-paira400,80600,0,80200,MBP
fhnw-schedule-pairb200,40200,0,40000,MBP
fhnw-schedule-paira100,5150,0,5050,MBP
comp21-2idx,10863,71,10792,MIP
comp08-2idx,11554,67,11487,MIP
comp12-2idx,11863,43,11820,MIP
comp07-2idx,17264,109,17155,MIP
aflow40b,2728,0,1364,MBP
cvs16r106-72,2848,0,2848,BP
neos-555424,3815,15,3800,MIP
ic97-potential,728,73,450,MIP
xmas10-2,8100,0,900,MBP
vpphard,51471,0,51471,BP
neos-1140050,40320,0,38640,MBP
8div-n59k10,6143,5,6138,MIP
8div-n59k11,12287,5,12282,MIP
8div-n59k12,24575,5,24570,MIP
neos-885086,4860,0,2430,MBP
sp98ic,10894,0,10894,BP
neos-1122047,5100,0,100,MBP
neos-831188,4612,0,4612,BP
mkc1,5325,0,3087,MBP
neos-555001,3855,73,3782,MIP
p500x2988,5976,0,2988,MBP
neos-1425699,105,80,5,MIP
ta2-UUE,9241,0,1188,MBP
misc07,260,0,259,MBP
dsbmip,1886,0,192,MBP
air03,10757,0,10757,BP
mod008inf,319,0,319,BP
neos-848198,10164,0,462,MBP
fiball,34219,258,33960,MIP
neos-807639,1030,0,80,MBP
a2c1s1,3648,0,192,MBP
neos-555884,3815,15,3800,MIP
